

wavelength(nm), Y
1558.47, -31.2818
1558.45, -31.2894
1558.44, -31.2975
1558.42, -31.3062
1558.41, -31.3154
1558.39, -31.3252
1558.38, -31.3354
1558.36, -31.3463
1558.35, -31.3576
1558.33, -31.3695
1558.32, -31.3819
1558.3, -31.3948
1558.29, -31.4083
1558.27, -31.4224
1558.26, -31.4369
1558.24, -31.4521
1558.23, -31.4677
1558.21, -31.484
1558.2, -31.5007
1558.18, -31.5181
1558.17, -31.5359
1558.15, -31.5544
1558.14, -31.5734
1558.12, -31.5929
1558.11, -31.6131
1558.09, -31.6338
1558.08, -31.655
1558.06, -31.6769
1558.05, -31.6993
1558.03, -31.7223
1558.02, -31.7459
1558, -31.77
1557.99, -31.7948
1557.97, -31.8201
1557.96, -31.8461
1557.94, -31.8726
1557.93, -31.8997
1557.91, -31.9275
1557.9, -31.9558
1557.88, -31.9848
1557.87, -32.0144
1557.85, -32.0446
1557.84, -32.0754
1557.82, -32.1069
1557.81, -32.139
1557.79, -32.1718
1557.78, -32.2051
1557.76, -32.2392
1557.75, -32.2739
1557.73, -32.3092
1557.72, -32.3452
1557.7, -32.3819
1557.69, -32.4193
1557.67, -32.4573
1557.66, -32.4961
1557.64, -32.5355
1557.63, -32.5756
1557.61, -32.6165
1557.6, -32.658
1557.58, -32.7003
1557.57, -32.7433
1557.55, -32.787
1557.54, -32.8315
1557.52, -32.8767
1557.51, -32.9227
1557.49, -32.9694
1557.48, -33.017
1557.46, -33.0653
1557.45, -33.1143
1557.43, -33.1642
1557.42, -33.2149
1557.4, -33.2664
1557.39, -33.3188
1557.37, -33.372
1557.36, -33.426
1557.34, -33.4809
1557.33, -33.5366
1557.31, -33.5932
1557.3, -33.6507
1557.28, -33.7092
1557.27, -33.7685
1557.25, -33.8287
1557.24, -33.8899
1557.22, -33.9521
1557.21, -34.0152
1557.19, -34.0793
1557.18, -34.1444
1557.16, -34.2105
1557.15, -34.2776
1557.13, -34.3458
1557.12, -34.415
1557.1, -34.4852
1557.09, -34.5566
1557.07, -34.6291
1557.06, -34.7027
1557.04, -34.7774
1557.03, -34.8534
1557.01, -34.9304
1557, -35.0087
1556.98, -35.0883
1556.97, -35.169
1556.95, -35.2511
1556.94, -35.3344
1556.92, -35.419
1556.91, -35.505
1556.89, -35.5924
1556.88, -35.6811
1556.86, -35.7713
1556.85, -35.8629
1556.83, -35.956
1556.82, -36.0507
1556.8, -36.1468
1556.79, -36.2446
1556.77, -36.344
1556.76, -36.445
1556.74, -36.5477
1556.73, -36.6521
1556.71, -36.7583
1556.7, -36.8663
1556.68, -36.9762
1556.67, -37.0879
1556.65, -37.2016
1556.64, -37.3173
1556.62, -37.4351
1556.61, -37.5549
1556.59, -37.6769
1556.58, -37.8012
1556.56, -37.9277
1556.55, -38.0565
1556.53, -38.1878
1556.52, -38.3215
1556.5, -38.4578
1556.49, -38.5967
1556.47, -38.7383
1556.46, -38.8827
1556.44, -39.03
1556.43, -39.1802
1556.41, -39.3336
1556.4, -39.4901
1556.38, -39.6499
1556.37, -39.813
1556.35, -39.9797
1556.34, -40.1501
1556.32, -40.3242
1556.31, -40.5022
1556.29, -40.6843
1556.28, -40.8706
1556.26, -41.0613
1556.25, -41.2566
1556.23, -41.4566
1556.22, -41.6615
1556.2, -41.8716
1556.19, -42.0871
1556.17, -42.3082
1556.16, -42.5351
1556.15, -42.7682
1556.13, -43.0077
1556.12, -43.2539
1556.1, -43.507
1556.09, -43.7676
1556.07, -44.0358
1556.06, -44.3121
1556.04, -44.5969
1556.03, -44.8906
1556.01, -45.1936
1556, -45.5063
1555.98, -45.8293
1555.97, -46.163
1555.95, -46.5078
1555.94, -46.8643
1555.92, -47.2327
1555.91, -47.6136
1555.89, -48.0072
1555.88, -48.4136
1555.86, -48.8328
1555.85, -49.2644
1555.83, -49.7077
1555.82, -50.1612
1555.8, -50.623
1555.79, -51.0896
1555.77, -51.5567
1555.76, -52.0178
1555.74, -52.4645
1555.73, -52.8859
1555.71, -53.2689
1555.7, -53.5984
1555.68, -53.8588
1555.67, -54.0354
1555.65, -54.1171
1555.64, -54.0985
1555.62, -53.9807
1555.61, -53.7717
1555.59, -53.484
1555.58, -53.1329
1555.56, -52.734
1555.55, -52.3019
1555.53, -51.8488
1555.52, -51.3846
1555.5, -50.917
1555.49, -50.4517
1555.47, -49.9927
1555.46, -49.5428
1555.44, -49.1037
1555.43, -48.6766
1555.41, -48.2621
1555.4, -47.8604
1555.38, -47.4716
1555.37, -47.0953
1555.35, -46.7313
1555.34, -46.3792
1555.32, -46.0385
1555.31, -45.7089
1555.29, -45.3897
1555.28, -45.0806
1555.26, -44.7811
1555.25, -44.4908
1555.23, -44.2092
1555.22, -43.9359
1555.2, -43.6705
1555.19, -43.4127
1555.17, -43.1622
1555.16, -42.9185
1555.14, -42.6814
1555.13, -42.4507
1555.11, -42.2259
1555.1, -42.0069
1555.08, -41.7935
1555.07, -41.5853
1555.05, -41.3822
1555.04, -41.184
1555.02, -40.9904
1555.01, -40.8013
1554.99, -40.6166
1554.98, -40.436
1554.96, -40.2595
1554.95, -40.0868
1554.93, -39.9178
1554.92, -39.7524
1554.9, -39.5905
1554.89, -39.4319
1554.87, -39.2766
1554.86, -39.1244
1554.84, -38.9753
1554.83, -38.8291
1554.81, -38.6857
1554.8, -38.5451
1554.78, -38.4072
1554.77, -38.2718
1554.75, -38.139
1554.74, -38.0087
1554.72, -37.8807
1554.71, -37.7551
1554.69, -37.6317
1554.68, -37.5104
1554.66, -37.3914
1554.65, -37.2744
1554.63, -37.1594
1554.62, -37.0465
1554.6, -36.9354
1554.59, -36.8262
1554.57, -36.7189
1554.56, -36.6133
1554.54, -36.5096
1554.53, -36.4075
1554.51, -36.3071
1554.5, -36.2083
1554.48, -36.1112
1554.47, -36.0156
1554.45, -35.9215
1554.44, -35.8289
1554.42, -35.7378
1554.41, -35.6482
1554.4, -35.56
1554.38, -35.4731
1554.37, -35.3876
1554.35, -35.3035
1554.34, -35.2206
1554.32, -35.1391
1554.31, -35.0588
1554.29, -34.9797
1554.28, -34.9018
1554.26, -34.8252
1554.25, -34.7497
1554.23, -34.6754
1554.22, -34.6022
1554.2, -34.5301
1554.19, -34.4592
1554.17, -34.3893
1554.16, -34.3205
1554.14, -34.2527
1554.13, -34.186
1554.11, -34.1202
1554.1, -34.0555
1554.08, -33.9918
1554.07, -33.929
1554.05, -33.8672
1554.04, -33.8064
1554.02, -33.7465
1554.01, -33.6875
1553.99, -33.6294
1553.98, -33.5722
1553.96, -33.5159
1553.95, -33.4605
1553.93, -33.4059
1553.92, -33.3522
1553.9, -33.2994
1553.89, -33.2473
1553.87, -33.1961
1553.86, -33.1457
1553.84, -33.0961
1553.83, -33.0473
1553.81, -32.9993
1553.8, -32.9521
1553.78, -32.9056
1553.77, -32.8599
1553.75, -32.815
1553.74, -32.7708
1553.72, -32.7273
1553.71, -32.6846
1553.69, -32.6426
1553.68, -32.6013
1553.66, -32.5607
1553.65, -32.5209
1553.63, -32.4817
1553.62, -32.4432
1553.6, -32.4054
1553.59, -32.3683
1553.57, -32.3319
1553.56, -32.2961
1553.54, -32.261
1553.53, -32.2265
1553.51, -32.1927
1553.5, -32.1596
1553.48, -32.1271
1553.47, -32.0952
1553.45, -32.064
1553.44, -32.0334
1553.42, -32.0034
1553.41, -31.974
1553.39, -31.9453
1553.38, -31.9172
1553.36, -31.8896
1553.35, -31.8627
