

frequency(GHz), Y
16.08, -1.19363
16.11, -1.19795
16.14, -1.20231
16.17, -1.20672
16.2, -1.21116
16.23, -1.21564
16.26, -1.22016
16.29, -1.22472
16.32, -1.22932
16.35, -1.23395
16.38, -1.23862
16.41, -1.24334
16.44, -1.24808
16.47, -1.25286
16.5, -1.25768
16.53, -1.26254
16.56, -1.26742
16.59, -1.27235
16.62, -1.2773
16.65, -1.28229
16.68, -1.28731
16.71, -1.29236
16.74, -1.29744
16.77, -1.30255
16.8, -1.30769
16.83, -1.31286
16.86, -1.31805
16.89, -1.32328
16.92, -1.32853
16.95, -1.3338
16.98, -1.33911
17.01, -1.34443
17.04, -1.34978
17.07, -1.35515
17.1, -1.36055
17.13, -1.36596
17.16, -1.3714
17.19, -1.37685
17.22, -1.38232
17.25, -1.38782
17.28, -1.39332
17.31, -1.39885
17.34, -1.40439
17.37, -1.40994
17.4, -1.41551
17.43, -1.42109
17.46, -1.42669
17.49, -1.43229
17.52, -1.43791
17.55, -1.44353
17.58, -1.44916
17.61, -1.4548
17.64, -1.46045
17.67, -1.4661
17.7, -1.47176
17.73, -1.47742
17.76, -1.48309
17.79, -1.48876
17.82, -1.49443
17.85, -1.50009
17.88, -1.50576
17.91, -1.51143
17.94, -1.5171
17.97, -1.52276
18, -1.52842
18.03, -1.53407
18.06, -1.53972
18.09, -1.54536
18.12, -1.55099
18.15, -1.55662
18.18, -1.56223
18.21, -1.56784
18.24, -1.57343
18.27, -1.57901
18.3, -1.58458
18.33, -1.59014
18.36, -1.59568
18.39, -1.60121
18.42, -1.60672
18.45, -1.61221
18.48, -1.61769
18.51, -1.62314
18.54, -1.62858
18.57, -1.634
18.6, -1.63939
18.63, -1.64477
18.66, -1.65012
18.69, -1.65545
18.72, -1.66075
18.75, -1.66603
18.78, -1.67128
18.81, -1.67651
18.84, -1.68171
18.87, -1.68688
18.9, -1.69203
18.93, -1.69714
18.96, -1.70223
18.99, -1.70728
19.02, -1.71231
19.05, -1.7173
19.08, -1.72226
19.11, -1.72718
19.14, -1.73208
19.17, -1.73693
19.2, -1.74176
19.23, -1.74655
19.26, -1.7513
19.29, -1.75601
19.32, -1.76069
19.35, -1.76534
19.38, -1.76994
19.41, -1.7745
19.44, -1.77903
19.47, -1.78352
19.5, -1.78796
19.53, -1.79237
19.56, -1.79674
19.59, -1.80106
19.62, -1.80534
19.65, -1.80959
19.68, -1.81378
19.71, -1.81794
19.74, -1.82206
19.77, -1.82613
19.8, -1.83015
19.83, -1.83414
19.86, -1.83808
19.89, -1.84197
19.92, -1.84582
19.95, -1.84963
19.98, -1.85339
20.01, -1.85698
20.04, -1.86029
20.07, -1.86355
20.1, -1.86677
20.13, -1.86995
20.16, -1.87307
20.19, -1.87616
20.22, -1.8792
20.25, -1.8822
20.28, -1.88515
20.31, -1.88806
20.34, -1.89092
20.37, -1.89374
20.4, -1.89652
20.43, -1.89925
20.46, -1.90194
20.49, -1.90459
20.52, -1.9072
20.55, -1.90976
20.58, -1.91228
20.61, -1.91476
20.64, -1.9172
20.67, -1.9196
20.7, -1.92195
20.73, -1.92427
20.76, -1.92655
20.79, -1.92878
20.82, -1.93098
20.85, -1.93314
20.88, -1.93525
20.91, -1.93734
20.94, -1.93938
20.97, -1.94138
21, -1.94335
21.03, -1.94529
21.06, -1.94718
21.09, -1.94904
21.12, -1.95087
21.15, -1.95266
21.18, -1.95442
21.21, -1.95614
21.24, -1.95783
21.27, -1.95949
21.3, -1.96112
21.33, -1.96271
21.36, -1.96428
21.39, -1.96581
21.42, -1.96732
21.45, -1.9688
21.48, -1.97024
21.51, -1.97166
21.54, -1.97306
21.57, -1.97443
21.6, -1.97577
21.63, -1.97708
21.66, -1.97838
21.69, -1.97965
21.72, -1.98089
21.75, -1.98212
21.78, -1.98332
21.81, -1.9845
21.84, -1.98566
21.87, -1.9868
21.9, -1.98792
21.93, -1.98903
21.96, -1.99011
21.99, -1.99119
22.02, -1.99224
22.05, -1.99328
22.08, -1.99431
22.11, -1.99532
22.14, -1.99632
22.17, -1.99731
22.2, -1.99828
22.23, -1.99925
22.26, -2.00021
22.29, -2.00116
22.32, -2.0021
22.35, -2.00303
22.38, -2.00396
22.41, -2.00488
22.44, -2.00579
22.47, -2.00671
22.5, -2.00762
22.53, -2.00852
22.56, -2.00943
22.59, -2.01033
22.62, -2.01124
22.65, -2.01214
22.68, -2.01305
22.71, -2.01396
22.74, -2.01488
22.77, -2.01579
22.8, -2.01672
22.83, -2.01764
22.86, -2.01858
22.89, -2.01952
22.92, -2.02047
22.95, -2.02143
22.98, -2.0224
23.01, -2.02338
23.04, -2.02437
23.07, -2.02538
23.1, -2.02639
23.13, -2.02742
23.16, -2.02847
23.19, -2.02953
23.22, -2.0306
23.25, -2.0317
23.28, -2.03281
23.31, -2.03394
23.34, -2.03508
23.37, -2.03625
23.4, -2.03744
23.43, -2.03865
23.46, -2.03988
23.49, -2.04114
23.52, -2.04241
23.55, -2.04371
23.58, -2.04504
23.61, -2.04639
23.64, -2.04777
23.67, -2.04917
23.7, -2.0506
23.73, -2.05206
23.76, -2.05355
23.79, -2.05507
23.82, -2.05662
23.85, -2.05819
23.88, -2.0598
23.91, -2.06144
23.94, -2.06311
23.97, -2.06482
24, -2.06656
24.03, -2.06833
24.06, -2.07013
24.09, -2.07197
24.12, -2.07385
24.15, -2.07576
24.18, -2.07771
24.21, -2.07969
24.24, -2.08171
24.27, -2.08377
24.3, -2.08586
24.33, -2.088
24.36, -2.09017
24.39, -2.09238
24.42, -2.09463
24.45, -2.09692
24.48, -2.09925
24.51, -2.10162
24.54, -2.10403
24.57, -2.10648
24.6, -2.10897
24.63, -2.1115
24.66, -2.11407
24.69, -2.11669
24.72, -2.11935
24.75, -2.12205
24.78, -2.12479
24.81, -2.12757
24.84, -2.13039
24.87, -2.13326
24.9, -2.13617
24.93, -2.13912
24.96, -2.14212
24.99, -2.14515
25.02, -2.14837
25.05, -2.15168
25.08, -2.15504
25.11, -2.15844
25.14, -2.16188
25.17, -2.16536
25.2, -2.16888
25.23, -2.17245
25.26, -2.17605
25.29, -2.17969
25.32, -2.18337
25.35, -2.18709
25.38, -2.19085
25.41, -2.19465
25.44, -2.19849
25.47, -2.20237
25.5, -2.20628
25.53, -2.21023
25.56, -2.21422
25.59, -2.21825
25.62, -2.22231
25.65, -2.22641
25.68, -2.23054
25.71, -2.23471
25.74, -2.23892
25.77, -2.24316
25.8, -2.24743
25.83, -2.25173
25.86, -2.25607
25.89, -2.26045
25.92, -2.26485
25.95, -2.26928
25.98, -2.27375
26.01, -2.27825
26.04, -2.28277
26.07, -2.28733
26.1, -2.29191
26.13, -2.29653
26.16, -2.30117
26.19, -2.30584
26.22, -2.31053
26.25, -2.31525
26.28, -2.32
26.31, -2.32477
26.34, -2.32956
26.37, -2.33438
26.4, -2.33922
26.43, -2.34408
26.46, -2.34896
26.49, -2.35387
26.52, -2.35879
26.55, -2.36373
26.58, -2.3687
26.61, -2.37368
26.64, -2.37868
26.67, -2.38369
26.7, -2.38872
26.73, -2.39377
26.76, -2.39883
26.79, -2.4039
26.82, -2.40899
26.85, -2.41409
26.88, -2.4192
26.91, -2.42432
26.94, -2.42945
26.97, -2.4346
27, -2.43975
27.03, -2.44491
27.06, -2.45007
27.09, -2.45525
27.12, -2.46042
27.15, -2.46561
27.18, -2.4708
27.21, -2.47599
27.24, -2.48119
27.27, -2.48639
27.3, -2.49159
27.33, -2.49679
27.36, -2.50199
27.39, -2.50719
27.42, -2.51239
27.45, -2.51759
27.48, -2.52278
27.51, -2.52798
27.54, -2.53316
27.57, -2.53835
27.6, -2.54353
27.63, -2.5487
27.66, -2.55387
27.69, -2.55903
27.72, -2.56418
27.75, -2.56932
27.78, -2.57445
27.81, -2.57958
27.84, -2.58469
27.87, -2.58979
27.9, -2.59488
27.93, -2.59996
27.96, -2.60502
27.99, -2.61008
28.02, -2.61511
28.05, -2.62014
28.08, -2.62514
28.11, -2.63013
28.14, -2.63511
28.17, -2.64007
28.2, -2.64501
28.23, -2.64993
28.26, -2.65484
28.29, -2.65972
28.32, -2.66459
28.35, -2.66943
28.38, -2.67426
28.41, -2.67906
28.44, -2.68385
28.47, -2.68861
28.5, -2.69334
28.53, -2.69806
28.56, -2.70275
28.59, -2.70742
28.62, -2.71207
28.65, -2.71669
28.68, -2.72128
28.71, -2.72585
