

wavelength(nm), Y
1351.39, 0.0513337
1351.36, 0.0515209
1351.34, 0.0517127
1351.32, 0.0519093
1351.3, 0.0521105
1351.28, 0.0523164
1351.25, 0.0525271
1351.23, 0.0527425
1351.21, 0.0529627
1351.19, 0.0531877
1351.16, 0.0534174
1351.14, 0.053652
1351.12, 0.0538915
1351.1, 0.0541358
1351.08, 0.0543849
1351.05, 0.054639
1351.03, 0.0548979
1351.01, 0.0551618
1350.99, 0.0554306
1350.97, 0.0557044
1350.94, 0.0559831
1350.92, 0.0562668
1350.9, 0.0565555
1350.88, 0.0568492
1350.85, 0.0571479
1350.83, 0.0574516
1350.81, 0.0577603
1350.79, 0.058074
1350.77, 0.0583928
1350.74, 0.0587165
1350.72, 0.0590454
1350.7, 0.0593792
1350.68, 0.0597181
1350.66, 0.060062
1350.63, 0.060411
1350.61, 0.0607651
1350.59, 0.0611242
1350.57, 0.0614883
1350.54, 0.0618575
1350.52, 0.0622318
1350.5, 0.0626112
1350.48, 0.0629957
1350.46, 0.0633853
1350.43, 0.0637799
1350.41, 0.0641798
1350.39, 0.0645848
1350.37, 0.0649949
1350.35, 0.0654103
1350.32, 0.0658309
1350.3, 0.0662567
1350.28, 0.0666877
1350.26, 0.0671241
1350.23, 0.0675656
1350.21, 0.0680122
1350.19, 0.0684643
1350.17, 0.0689218
1350.15, 0.0693847
1350.12, 0.069853
1350.1, 0.0703268
1350.08, 0.070806
1350.06, 0.0712908
1350.04, 0.0717811
1350.01, 0.0722769
1349.99, 0.0727782
1349.97, 0.073285
1349.95, 0.0737973
1349.92, 0.0743152
1349.9, 0.0748386
1349.88, 0.0753674
1349.86, 0.0759018
1349.84, 0.0764416
1349.81, 0.0769869
1349.79, 0.0775376
1349.77, 0.0780937
1349.75, 0.0786552
1349.73, 0.0792221
1349.7, 0.0797943
1349.68, 0.0803719
1349.66, 0.0809547
1349.64, 0.0815429
1349.62, 0.0821363
1349.59, 0.082735
1349.57, 0.0833389
1349.55, 0.083948
1349.53, 0.0845624
1349.5, 0.085182
1349.48, 0.0858068
1349.46, 0.0864369
1349.44, 0.0870722
1349.42, 0.0877128
1349.39, 0.0883586
1349.37, 0.0890097
1349.35, 0.0896662
1349.33, 0.090328
1349.31, 0.0909952
1349.28, 0.0916677
1349.26, 0.0923457
1349.24, 0.0930292
1349.22, 0.0937182
1349.2, 0.0944127
1349.17, 0.0951127
1349.15, 0.0958183
1349.13, 0.0965295
1349.11, 0.0972464
1349.08, 0.0979688
1349.06, 0.098697
1349.04, 0.0994307
1349.02, 0.10017
1349, 0.100915
1348.97, 0.101666
1348.95, 0.102422
1348.93, 0.103184
1348.91, 0.103952
1348.89, 0.104725
1348.86, 0.105504
1348.84, 0.106288
1348.82, 0.107077
1348.8, 0.107872
1348.78, 0.108673
1348.75, 0.109478
1348.73, 0.110289
1348.71, 0.111105
1348.69, 0.111926
1348.67, 0.112752
1348.64, 0.113583
1348.62, 0.114419
1348.6, 0.11526
1348.58, 0.116106
1348.55, 0.116957
1348.53, 0.117813
1348.51, 0.118673
1348.49, 0.119538
1348.47, 0.120408
1348.44, 0.121283
1348.42, 0.122162
1348.4, 0.123046
1348.38, 0.123935
1348.36, 0.124829
1348.33, 0.125727
1348.31, 0.126631
1348.29, 0.127539
1348.27, 0.128452
1348.25, 0.129371
1348.22, 0.130294
1348.2, 0.131222
1348.18, 0.132156
1348.16, 0.133094
1348.14, 0.134038
1348.11, 0.134988
1348.09, 0.135942
1348.07, 0.136902
1348.05, 0.137867
1348.03, 0.138838
1348, 0.139814
1347.98, 0.140795
1347.96, 0.141782
1347.94, 0.142774
1347.91, 0.143771
1347.89, 0.144774
1347.87, 0.145783
1347.85, 0.146796
1347.83, 0.147815
1347.8, 0.14884
1347.78, 0.149869
1347.76, 0.150904
1347.74, 0.151943
1347.72, 0.152988
1347.69, 0.154038
1347.67, 0.155092
1347.65, 0.156152
1347.63, 0.157216
1347.61, 0.158285
1347.58, 0.159359
1347.56, 0.160438
1347.54, 0.161521
1347.52, 0.162609
1347.5, 0.163701
1347.47, 0.164798
1347.45, 0.1659
1347.43, 0.167006
1347.41, 0.168117
1347.39, 0.169232
1347.36, 0.170352
1347.34, 0.171477
1347.32, 0.172606
1347.3, 0.173741
1347.28, 0.174879
1347.25, 0.176023
1347.23, 0.177172
1347.21, 0.178325
1347.19, 0.179483
1347.17, 0.180646
1347.14, 0.181815
1347.12, 0.182988
1347.1, 0.184166
1347.08, 0.185349
1347.06, 0.186538
1347.03, 0.187731
1347.01, 0.18893
1346.99, 0.190134
1346.97, 0.191343
1346.95, 0.192556
1346.92, 0.193775
1346.9, 0.194999
1346.88, 0.196228
1346.86, 0.197461
1346.83, 0.198699
1346.81, 0.199943
1346.79, 0.20119
1346.77, 0.202442
1346.75, 0.203699
1346.72, 0.20496
1346.7, 0.206225
1346.68, 0.207495
1346.66, 0.208769
1346.64, 0.210046
1346.61, 0.211328
1346.59, 0.212614
1346.57, 0.213903
1346.55, 0.215196
1346.53, 0.216493
1346.5, 0.217793
1346.48, 0.219097
1346.46, 0.220405
1346.44, 0.221716
1346.42, 0.22303
1346.39, 0.224348
1346.37, 0.22567
1346.35, 0.226995
1346.33, 0.228324
1346.31, 0.229656
1346.28, 0.230991
1346.26, 0.23233
1346.24, 0.233673
1346.22, 0.23502
1346.2, 0.23637
1346.17, 0.237723
1346.15, 0.239081
1346.13, 0.240442
1346.11, 0.241807
1346.09, 0.243175
1346.06, 0.244548
1346.04, 0.245924
1346.02, 0.247304
1346, 0.248687
1345.98, 0.250075
1345.95, 0.251466
1345.93, 0.252861
1345.91, 0.254259
1345.89, 0.255661
1345.87, 0.257067
1345.84, 0.258476
1345.82, 0.259889
1345.8, 0.261306
1345.78, 0.262725
1345.76, 0.264148
1345.73, 0.265575
1345.71, 0.267004
1345.69, 0.268437
1345.67, 0.269873
